oblast,town,name,category,description,address
Рівненська область,Дубно,"Всеукраїнська громадська організація ""Українська асоціація вапняної промисловості""",Об'єднання підприємців,"Членство в Асоціації може бути індивідуальним та колективним. Індивідуальними членами Асоціації можуть бути громадяни України, іноземні громадяни, особи без громадянства, яким виповнилося 18 років, які мають досвід роботи у галузі вапняної промисловості, викладацької чи дослідницької роботи, а також в інших видах діяльності, пов'язаних з галуззю вапняної промисловості чи мають відповідну освіту, визнають та виконують вимоги Статуту Асоціації, сплачують вступні та членські внески. Колективними членами можуть бути юридичні особи різних форм власності, трудові колективи підприємств, організацій, установ, які сприяють діяльності Асоціації, визнають вимоги Статуту та сплачують вступні та членські внески.",-
Дніпропетровська область,Дніпро,"Всеукраїнська громадська організація ""Українська горіхова асоціація""",Об'єднання підприємців,Не відомо,-
Житомирська область,Вертокиївка,"Всеукраїнська громадська організація ""Український союз пожежної та техногенної безпеки"" (УСПТБ)",Об'єднання підприємців,"У діяльності Союзу можуть брати участь як індивідуальні, так і колективні члени. Індивідуальним членом Союзу може бути громадянин України. Колективним членом Союзу можуть бути трудові колективи підприємств, установ, організацій, їх об’єднань, асоціацій, а також громадські організації, які поділяють принципи й мету Союзу, визнають й виконують Статут.",-
Житомирська область,Вертокиївка,"Всеукраїнська громадська організація ""Фумігаційна асоціація""",Об'єднання підприємців,"Членами Асоціації можуть бути юридичні особи та фізичні особи-підприємці, які добровільно виявили бажання вступити до Асоціації та зацікавлені в досягненні її статутних цілей, поділяють принципи та завдання Асоціації, визнають та виконують положення Статуту Асоціації, відповідають вимогам і прийняті до Асоціації в порядку, встановленому Статутом та внутрішніми документами Асоціації, беруть активну участь у її діяльності через своїх представників, а також грошовими і майновими внесками й пожертвуваннями здійснюють фінансування програм і заходів Асоціації, сплачують вступні та членські внески.",-
Житомирська область,Вертокиївка,Всеукраїнська громадська організація Реміснича палата України,Об'єднання підприємців,"Реміснича палата включає мікро, малі та середні підприємства (ММСП)",-
Житомирська область,Вертокиївка,Всеукраїнська дорожня асоціація,Об'єднання підприємців,"Асоціація об’єднує підприємства усіх сфер діяльності в дорожній галузі. Наші члени - підприємства усіх рівнів: великі, середні та маленькі з усіх регіонів України. Ви можете стати частиною асоціації, якщо: поділяєте принципи, місію та стратегію Асоціації; маєте бездоганну ділову репутацію; ведете бізнес за високими етичними стандартами; впроваджуєте інновації у своєму бізнесі.",-
Житомирська область,Вертокиївка,"Всеукраїнська молодіжна громадська організація ""Асоціація молодих підприємців України"" (АМПУ)",Об'єднання підприємців,"ВМГО ""АМПУ"" об’єднує молодих людей – волонтерів віком від 14 до 35 років",-
Житомирська область,Вертокиївка,"Всеукраїнське громадське об'єднання Українська аграрна конфедерація (ВГО ""УАК"")",Об'єднання підприємців,"Членами (учасниками) УАК можуть бути юридичні особи приватного права, у тому числі громадські об'єднання зі статусом юридичної особи, фізичні особи, які досягли 18 років та не визнані судом недієздатними",-
Житомирська область,Вертокиївка,Всеукраїнське об'єднання малого та середнього бізнесу Фортеця,Об'єднання підприємців,"Стати членом Фортеці може підприємець, підприємство або підприємницьке об'єднання, які розділяють статутні завдання організації і готові виконувати обов’язки та мати права, передбачені Статутом Фортеці",-
Житомирська область,Вертокиївка,"Всеукраїнське об’єднання організацій роботодавців транспорту ""Федерація роботодавців транспорту України""",Об'єднання підприємців,"Членами Федерації можуть бути організації роботодавців, їх об’єднання, які діють відповідно до Закону України «Про організації роботодавців, їх об’єднання, права і гарантії їх діяльності». Асоційованими членами можуть бути суб’єкти господарюванн,я діяльність яких розповсюджується більш ніж на половину адміністративно-територіальних одиниць України, які мають права і обов’язки рівні з членами Федерації.",-
Житомирська область,Вертокиївка,"ГО ""Антикорупційний підприємницький фронт""",Об'єднання підприємців,Не відомо,-
Харківська область,Миколаївка,"ГО ""Асоціація учасників та інвалідів АТО""",Об'єднання підприємців,"Членами Організації можуть бути учасники бойових дій, інваліди війни та інші громадяни України та особи без громадянства, які перебувають, чи перебували в зоні проведення антитерористичної операції у складі Збройних сил України, Міністерства внутрішніх справ, Державної прикордонної служби, Державної служби з надзвичайних ситуацій, Служби безпеки України, добровольчих батальйонів або як волонтери. За згодою Правління до Організації можуть бути прийняті особи (асоційовані члени – без права голосу), які не перебували в зоні проведення антитерористичної операції.",-
Вінницька область,Вінниця,"ГО ""Вінницький клуб ділових людей""",Об'єднання підприємців,"Вимоги до учасників Клубу: гарна ділова репутація, дотримання етичного кодексу, сплата щорічного членського внеску, бажання розвивати власний бізнес","м. Вінниця, вул. Івана Богуна, 2, оф. 315"
Кіровоградська область,Новоодеса,"ГО ""Всеукраїнська Рада Жінок - Фермерів""",Об'єднання підприємців,Не відомо,-
Донецька область,Маріуполь,"ГО ""Маріупольський айті кластер"" (Маріупольський IT кластер)",Об'єднання підприємців,Не відомо,-
Сумська область,Шостка,"ГО ""Спілка бджолярів Шосткинщини""",Об'єднання підприємців,"Індивідуальними членами Спілки можуть бути громадяни України, які досягли 14 років і бажають займатися бджільництвом та підтримують її Статут.",-
Житомирська область,Вертокиївка,"ГО ""Українська асоціація виробників біоетанолу"" (Укрбіоетанол)",Об'єднання підприємців,Не відомо,-
Донецька область,Торецьк,"ГО ""Центр ініціатив підприємців м. Торецьк""",Об'єднання підприємців,Не відомо,"м. Торецьк, вул. Дружби, 31/5"
Вінницька область,Вінниця,ГО “Вінницька обласна організація “Cпілка підприємців ”Стіна”,Об'єднання підприємців,"Членом Організації можуть бути громадяни України, іноземці та особи без громадянства, які перебувають в Україні на законних підставах, досягли 18 років та активно сприяють виконанню статутних завдань Організації","м. Вінниця, вул. Театральна, 14, оф. 204, 205"
Житомирська область,Вертокиївка,ГО «Спілка сприяння розвитку сільського зеленого туризму в Україні»,Об'єднання підприємців,"Членами Організації можуть бути громадяни України, іноземці і особи без громадсянства, які досягли 18-річного віку і сприяють виконанню статутних завдань Організації.",-
Житомирська область,Вертокиївка,ГО Аграрний союз України,Об'єднання підприємців,"Членами Спілки можуть бути юридичні особи приватного права (підприємства, усптанови, організації, засновані на приватній власності фізичних осіб та/або юридичних осіб, у тому числі громадські об'єднання зі статусом юридичної особи), які створені відповідно до чинного законодавства України або інших держав, та фізичні особи - громадяни України, які досягли 18-річного віку та не визнані судом недієздатними",-
Вінницька область,Чернівці,ГО Aсоціація працівників туристичної сфери «Туристична Буковина»,Об'єднання підприємців,Асоціація об’єднує підприємства та приватних підприємців туристичної та суміжних до неї галузей.,-
Житомирська область,Вертокиївка,"Громадська оганізація ""Ресторанна гільдія"" (ГО ""Ресто-гільдія"")",Об'єднання підприємців,Не відомо,-
Волинська область,Шельвів,Громадська організація ''Вест юкрейніан бізнес клаб'' | West Ukrainian Business Club,Об'єднання підприємців,"Учасники клубу - це власники та перші особи бізнесу, що займають передові позиції в різних галузях бізнесу України; персони, які мають хорошу ділову репутацію у бізнес-колах. Вони і їхні компанії не стоять на місті та завжди вдосконалюються. Критерії членства: власник або перше лице компанії; схожість за життєвими цінностями; хороша ділова репутація; мінімальний оборот компанії 30 млн. грн. на рік; досвід управління від 5 років; довіра до клубу; бажання розвивати клуб, залучаючи нових членів.",-
Житомирська область,Вертокиївка,"Громадська організація ""Антирейдерський союз підприємців України""",Об'єднання підприємців,Не відомо,-
Дніпропетровська область,Дніпро,"Громадська організація ""Асоціація ветеранів-підприємців"" (Association of Veterans-Entrepreneurs - AVE)",Об'єднання підприємців,Не відомо,-
Вінницька область,Чернівці,"Громадська організація ""Асоціація виробників продукції бджільництва ""Буковинський Бджоляр""",Об'єднання підприємців,"Членами Асоціації можуть бути громадяни України, а також іноземці та особи без громадянства, які перебувають на території України на законних підставах. Членами Асоціації можуть бути громадяни України, які досягли 14 років",-
Івано-Франківська область,Яремче,"Громадська організація ""Асоціація готельєрів та власників садиб Яремчанщини""",Об'єднання підприємців,Не відомо,"Івано-Франківська обл., Яремчанський р/н, с. Татарів, вул. Піги, 660"
Житомирська область,Вертокиївка,"Громадська організація ""Асоціація індійських фармацевтичних виробників""",Об'єднання підприємців,"Критерії для членства: акредитований офіс представництва в Україні, міжнародна акредитація виробничого обладнання cGMP / USFDA / MHRA / UkrGMP, ексклюзивне представлення індійського виробника в Україні за вищезазначеними критеріями або існування в Україні понад 7 років з оборотом більше 5 млн. доларів, експорт більш ніж в 30 країн",-
Житомирська область,Вертокиївка,"Громадська організація ""Асоціація козівників України""",Об'єднання підприємців,Не відомо,-
Житомирська область,Вертокиївка,"Громадська організація ""Асоціація підприємців-ветеранів АТО"" (АПВА)",Об'єднання підприємців,Не відомо,-
Житомирська область,Вертокиївка,"Громадська організація ""Асоціація роботодавців у галузі франчайзингу""",Об'єднання підприємців,Не відомо,-
Житомирська область,Вертокиївка,"Громадська організація ""Асоціація учасників валютного ринку""",Об'єднання підприємців,Не відомо,-
Київська область,Біла Церква,"Громадська організація ""Бізнес клуб Інлідер""",Об'єднання підприємців,Не відомо,-
Запорізька область,Запоріжжя,"Громадська організація ""Бізнес-союз Порада""",Об'єднання підприємців,"Умови вступу в Бізнес-Союз: суворо дотримуватися цінності Організації, бути готовим відстоювати свої громадянські права в складі Організації, оплачувати членські внески","м. Запоріжжя, пр. Соборний, 179, кв.35"
Донецька область,Краматорськ,"Громадська організація ""Взаємодія-Плюс""",Об'єднання підприємців,"Членами Організації можуть бути громадяни України, іноземці та особи без<br />
громадянства, які перебувають в Україні на законних підставах, досягли 18-<br />
річного віку, активно сприяють виконанню статутних завдань Організації,<br />
виявили бажання бути членом Організації. Обо'язковою умовою для приєднання до Інформаційних членів є згода на дотримання угоди про доброчесне підприємництво",-
Дніпропетровська область,Дніпро,"Громадська організація ""Виробники амаранту та амарантової продукції""",Об'єднання підприємців,"Членство в Організації є індивідуальним. Індивідуальними членами Організації можуть бути громадяни України, іноземці та особи без громадянства, що на законних підставах перебувають та території України, та досягли 18 років та не визнані судом недієздатними, які визнають принципи, мету, завдання та Статут Організації, сплачують вступні та членські внески та отримали статус члена Організації у порядку, визначеному Статутом.",-
Хмельницька область,Кам'янець-Подільський,"Громадська організація ""Відкрита асоціація готельєрів та рестораторів Кам'янця-Подільського""",Об'єднання підприємців,Не відомо,-
Кіровоградська область,Новоодеса,"Громадська організація ""Вірменський бізнес клуб""",Об'єднання підприємців,"Членами Організації можуть бути фізичні особи, які досягли 18 років та не визнані судом недієздатними, які згодні виконувати обов'язки, що на них покладає Статут Організації, і за умови сплати вступного (членського внеску). Вступити в клуб можна за наявності рекомендації від його учасників.",-
Кіровоградська область,Новоодеса,"Громадська організація ""Всеукраїнська професійна асоціація підприємців"" (ГО ""ВПАП"")",Об'єднання підприємців,Не відомо,-
Житомирська область,Вертокиївка,"Громадська організація ""Всеукраїнське Об'єднання громадських організацій Спілка пасічників України""",Об'єднання підприємців,"Членами Спілки можуть бути: громадські об’єднання пасічників, зареєстровані відповідно до закону; підприємства та організації, діяльність яких пов’язана з бджільництвом; фізичні особи – пасічники (індивідуальні члени), у випадку вiдсутностi у адмiнiстративних одиницях зареєстрованих громадських об’єднань пасiчникiв.",-
Житомирська область,Вертокиївка,"Громадська організація ""Жіноча Професійна Ліга"" (ініціатива Жіноча підприємницька та інтелектуальна спільнота)",Об'єднання підприємців,"Членкинями (Лігіонерками) можуть бути жінки, як українки, так громадянки інших держав, котрі підтримують цілі організації, та є професіоналами в одній із зазначених сфер (бізнес, наука і освіта, політика/держслужба, мас-медіа). Радник(ця) Ліги (чоловіки або жінки) – це сучасно професійні освічені чоловіки та жінки, вищі професіонали, які на громадських засадах будуть надавати Лізі допомогу у різних сферах її діяльності, підтримують мету діяльності Ліги, її заходи та сплачують щорічні членські внески.",-
Луганська область,Запоріжжя,"Громадська організація ""Запорізька обласна туристична асоціація"" (ЗОТА)",Об'єднання підприємців,"Членство в Громадській організації «ЗОТА» є індивідуальним та колективним. Індивідуальними членами Громадської організації «ЗОТА» можуть бути фізичні<br />
особи, які своєю діяльністю впливають на функціонування туристичної сфери. Колективними членами Громадської організації «ЗОТА» можуть бути колективи юридичних осіб - суб’єктів туристичної діяльності та громадські організації.",-
Житомирська область,Вертокиївка,"Громадська організація ""Індустріальний телевізійний комітет"" (ІТК)",Об'єднання підприємців,"Членом ІТК може стати будь-який суб'єкт господарювання, юридична особа, яка здійснює свою діяльність у сфері телебачення (має відповідні ліцензії на мовлення, якщо це передбачено чинним законодавством України) та/або реклами, а також юридичні особи, які замовляють рекламні послуги у значних обсягах, відповідно до законодавства України, та згодні виконувати обов'язки, що на неї покладає Статут та інші документи Асоціації",-
Житомирська область,Вертокиївка,"Громадська організація ""Київ IT кластер""",Об'єднання підприємців,"Київ ІТ Кластер об'єднує в собі наступні типи компаній: ІТ компанії будь-якої спрямованості (сервісні, стартапи, продуктові і т.д.), суміжні компанії, бізнес яких обслуговує потреби ІТ Компаній, представників владних структур, представників освіти і наукових інститутів",-
Запорізька область,Мелітополь,"Громадська організація ""Клуб ділових жінок МЛТ""",Об'єднання підприємців,Не відомо,-
Сумська область,Конотоп,"Громадська організація ""Конотопський інформаційно-технологічний кластер"" (Konotop IT-Cluster)",Об'єднання підприємців,Пільговий період участі у ІТ кластері триває протягом півроку. Учасники об’єднання можуть пропонувати доповнення до правил вступу до Конотопського ІТ кластеру.,-
Волинська область,Шельвів,"Громадська організація ""Львівський туристичний альянс""",Об'єднання підприємців,Не відомо,-
Житомирська область,Вертокиївка,"Громадська організація ""Міжнародна амбасада жінок-підприємниць""",Об'єднання підприємців,"Звичайним членом Організації може бути фізична особа, яка: погоджується з положеннями Статуту Організації та зобов’язується їх виконувати; подасть письмову заяву до Правління організації. Допоміжним Членом Організації може бути юридична особа, яка надає фінансову, матеріальну або іншу суттєву допомогу в реалізації цілей Організації. Почесним Членом Організації може бути фізична або юридична особа, яка зробила видатний внесок в діяльність і розвиток Організації. Амбасадорка: має власний бізнес, дотримується високих стандартів його ведення та етичної ділової поведінки; володіє лідерськими якостями та готова допомагати іншим, надихати їх та ділитися своїми знаннями та досвідом; бере активну участь у навчанні ділових жінок у якості експерта, виступає ментором для інших членів Амбасади.",-
Кіровоградська область,Новоодеса,"Громадська організація ""Одеський діловий клуб"" | Odessa Business Club",Об'єднання підприємців,Odessa Business Club - це закритий клуб власників і перших осіб середнього і великого бізнесу півдня України,-
Житомирська область,Вертокиївка,"Громадська організація ""Підприємницький клуб""",Об'єднання підприємців,Не відомо,-
Полтавська область,Полтава,"Громадська організація ""Підприємці Полтавщини""",Об'єднання підприємців,Не відомо,-
Хмельницька область,Хмельницький,"Громадська організація ""Проскурів бізнес клуб"" | Proskuriv Business Club",Об'єднання підприємців,"Вимоги до учасників: статус підприємця, позитивна ділова репутація, спільні цінності, готовність до активної участі. Вимоги до кандидатів на вступу до Спільноти: кандидатами в учасники Спільноти можуть бути особи, у яких є розуміння, що таке бізнес, які активно займаються бізнесом, або мають в цьому досвід; діячі культури і мистецтва, які активно змінюють світ на краще; кандидат має можливість два рази відвідати відкриту зустріч спільноти до прийняття рішення про вступ.",-
Житомирська область,Вертокиївка,"Громадська організація ""Союз підприємців поляків України"" (Związek Przedsiębiorców Polaków Ukrainy)",Об'єднання підприємців,Не відомо,-
Луганська область,Запоріжжя,"Громадська організація ""Співтовариство працівників сфери інформаційних та комунікаційних технологій Запоріжжя Айсіті кластер Запоріжжя"" (ГО ""Айсіті кластер Запоріжжя"")",Об'єднання підприємців,Не відомо,-
Житомирська область,Вертокиївка,"Громадська організація ""Спілка орендарів і підприємців України"" (ГО ""СОПУ"")",Об'єднання підприємців,"Колективними членами Спілки можуть бути громадські організації, які об’єднують роботодавців, власників і підприємців, орендарів та фермерів. Індивідуальними членами Спілки можуть бути фізичні особи – громадяни України, іноземці та особи без громадянства, які перебувають в Україні на законних підставах, які досягли 18 років, фізичні особи, які ведуть підприємницьку діяльність, та/або створюють робочі місця (роботодавці, власники, самозайняті підприємці, орендарі землі, рухомого чи нерухомого майна, фермери) та їх об’єднання",-
Житомирська область,Вертокиївка,"Громадська організація ""Спілка професіоналів України в індустрії краси""",Об'єднання підприємців,"Членами Спілки можуть бути громадяни України, іноземці та особи без громадянства, які перебувають в Україні на законних підставах, які досягли 14 роківі які визнають Статут Спілки та сприяють діяльності, що спрямована на досягнення мети і завдань Спілки",-
Тернопільська область,Тернопіль,"Громадська організація ""Тернопільський ІТ кластер"" (Ternopil IT Cluster)",Об'єднання підприємців,Не відомо,-
Житомирська область,Вертокиївка,"Громадська організація ""Українська асоціація маркетингу"" (ГО ""УАМ"")",Об'єднання підприємців,"ГО ""УАМ"" має колективних та індивідуальних членів. Колективними членами УАМ стають компанії, які у своїй діяльності дотримуються Стандартів якості маркетингових досліджень УАМ-СОУ 91.12.0-21708654-001-2002, Керівництв та Директив ESOMAR а також при вступі отримали 2 рекомендації від членів ВГО ""УАМ"". Індивідуальні члени - це фахівці, які працюють у сфері маркетингу, реклами, PR, а також провідні викладачі маркетингу України",-
Харківська область,Дергачі,"Громадська організація ""Український фешен кластер"" | Ukrainian Fashion Cluster",Об'єднання підприємців,"Ukrainian Fashion Cluster - об'єднання людей, пов'язаних з фешн індустрією України - дизайнерів, брендів, стилістів, фотографів, постачальників, шоурумів і т. д.",-
Закарпатська область,Ужгород,"Громадська організація ""Унгвар бізнес партнер груп"" | Ungvar Business Partner Group - UBPG",Об'єднання підприємців,UBPG - перший найбільший закарпатський бізнес-клуб для малого та середнього бізнесу,-
Черкаська область,Харківка,"Громадська організація ""Харківський кластер легкої промисловості та дизайну"" (Kharkiv Fashion Cluster)",Об'єднання підприємців,Не відомо,-
Хмельницька область,Хмельницький,"Громадська організація ""Хмельницький IT-кластер""",Об'єднання підприємців,Не відомо,-
Житомирська область,Вертокиївка,"Громадська організація ""Янг бізнес клаб"" (Young Business Club)",Об'єднання підприємців,"Стати членом Young Business Club можна, якщо: Ви власник офіційно оформленого бізнесу, який існує більше 2 років; Ваш вік - до 45 років (включно); оборот вашої компанії - від 100 000 дол. США на рік; Ви поділяєте цінності Клубу: довіра, спільнодія, розвиток.",-
Житомирська область,Вертокиївка,"Громадська організація ""CEO Клаб"" | CEO Club",Об'єднання підприємців,"Критерії членства CEO Club Ukraine: позитивна ділова репутація і наявність рекомендацій, статус першої особи компанії з річним оборотом від $ 10 мільйонів, поділяння цінностей клубу, відповідність стратегії диверсифікації",-
Львівська область,Львів,Громадська організація «Клуб Ділових Людей Україна»,Об'єднання підприємців,"Повноправними Членами ГО можуть бути будь-які фізичні особи, що досягли 16 років, які поділяють мету і завдання ГО, визнають та виконують положення Статуту, прийняті до ГО в порядку, встановленому Статутом та внутрішніми документами ГО","м. Львів, вул. Перфецького, 11"
Вінницька область,Вінниця,Громадська організація «Українська Платформа «Жінки в Бізнесі»,Об'єднання підприємців,Не відомо,-
Донецька область,Маріуполь,Громадська організація Клуб підприємців Донбасу,Об'єднання підприємців,Не відомо,-
Івано-Франківська область,Івано-Франківськ,Громадська організація Комітет підприємців міста Івано-Франківська,Об'єднання підприємців,"Членами ГО ""Комітет підприємців міста Івано-Франківська"" можуть бути фізичні особи громадяни України, котрі досягли 18 років, поділяють мету ГО ""Комітет підприємців міста Івано-Франківська"", визнають положення Статуту, Кодексу Честі та інших регламентуючих документів ГО ""Комітет підприємців міста Івано-Франківська"", сплачують членські внески та беруть особисту участь в роботі ГО ""Комітет підприємців міста Івано-Франківська""",-
Житомирська область,Вертокиївка,Громадська організація Міжнародна бізнес-асоціація Турксід (Turksid Uluslararası İş İnsanları Derneği),Об'єднання підприємців,"Асоціація об'єднує кримськотатарських підприємців з Туреччини, України, Румунії, Кіпру та Східної Європи. Кожна особа, яка є дієздатною, приймає цілі та принципи Асоціації, готова працювати в цьому напрямку та відповідає умовам, передбаченим законодавством, має право стати членом Асоціації. Однак іноземні фізичні особи також повинні мати право поселитися в Туреччині, щоб стати членом Асоціації. Юридична особа також повинна мати головний офіс або філію в Туреччині.",-
Харківська область,Миколаївка,Громадська організація МрійДій (DreamAction),Об'єднання підприємців,Потрібна рекомендація від діючого учасника,-
Кіровоградська область,Новоодеса,Громадська організація Рада підприємців Одеси,Об'єднання підприємців,Не відомо,-
Сумська область,Суми,"Громадська організація Спілка підприємців, орендарів та власників Сумської області",Об'єднання підприємців,Не відомо,"м. Суми, вул. Римського Корсакова, 8, кв. 6"
Вінницька область,Чернівці,Громадська організація IT кластер Чернівці IT Ком'юніті (IT Cluster “Chernivtsi IT community”),Об'єднання підприємців,"Членами Організації можуть бути фізичні особи (іноземці, особи без громадянства або громадяни України), які досягли 14-річного віку. Для того, щоб стати членом Організації, особа має відповідати наступним вимогам: мати добру репутацію; здійснювати законну діяльність; мати досвід роботи у сфері інформаційних технологій та суміжних з нею.",-
Житомирська область,Вертокиївка,"Громадська спілка ""Агро-продовольча рада"" (Agro-Food Council)",Об'єднання підприємців,"Агро-продовольча рада - це об’єднання організацій та провідних фахівців аграрного сектору України задля захисту інтересів агро-продовольчої галузі на регіональному, національному та міжнарожному рівні",-
Черкаська область,Харківка,"Громадська спілка ""Агрофудкластер Харків""",Об'єднання підприємців,"Членами кластеру можуть бути агровиробники і переробники, а також сервісні компанії, що зареєстровані і працюють на території Харківської області",-
Кіровоградська область,Новоодеса,"Громадська спілка ""Айті Фемілі Одеса"" | Odesa IT Family",Об'єднання підприємців,"Приєднатися до Odesa IT Family можуть IT-компанії та будь-які інші організації з суміжних сфер (бізнес, освіта тощо), які поділяють наші цінності та дивляться з нами в одному напрямку.",-
